+-----+---------------+----------------+-----------------+
|   k |   10_inst_I2O |   100_inst_I2O |   1000_inst_I2O |
|-----+---------------+----------------+-----------------|
|   1 |       0.18171 |        0.18866 |         0.19015 |
|   2 |       0.09490 |        0.10127 |         0.10031 |
|   3 |       0.05868 |        0.06190 |         0.06223 |
|   4 |       0.04043 |        0.04202 |         0.04278 |
|   5 |       0.02978 |        0.03096 |         0.03157 |
|   6 |       0.02294 |        0.02378 |         0.02454 |
|   7 |       0.01851 |        0.01927 |         0.01990 |
|   8 |       0.01564 |        0.01613 |         0.01644 |
|   9 |       0.01419 |        0.01366 |         0.01401 |
|  10 |       0.01204 |        0.01212 |         0.01206 |
|  11 |       0.01077 |        0.01058 |         0.01051 |
|  12 |       0.00974 |        0.00925 |         0.00927 |
|  13 |       0.00911 |        0.00845 |         0.00832 |
|  14 |       0.00771 |        0.00758 |         0.00745 |
|  15 |       0.00630 |        0.00675 |         0.00675 |
|  16 |       0.00611 |        0.00618 |         0.00617 |
|  17 |       0.00571 |        0.00560 |         0.00563 |
|  18 |       0.00512 |        0.00515 |         0.00519 |
|  19 |       0.00501 |        0.00485 |         0.00482 |
|  20 |       0.00464 |        0.00441 |         0.00448 |
+-----+---------------+----------------+-----------------+
