+-----+---------------+----------------+-----------------+
|   k |   10_inst_I2O |   100_inst_I2O |   1000_inst_I2O |
|-----+---------------+----------------+-----------------|
|   1 |       0.42163 |        0.42025 |         0.42094 |
|   2 |       0.35224 |        0.35423 |         0.35434 |
|   3 |       0.29810 |        0.29824 |         0.29817 |
|   4 |       0.25166 |        0.25122 |         0.25094 |
|   5 |       0.21025 |        0.21100 |         0.21101 |
|   6 |       0.17824 |        0.17809 |         0.17785 |
|   7 |       0.15071 |        0.14968 |         0.14958 |
|   8 |       0.12566 |        0.12551 |         0.12585 |
|   9 |       0.10604 |        0.10589 |         0.10595 |
|  10 |       0.08908 |        0.08944 |         0.08917 |
|  11 |       0.07380 |        0.07495 |         0.07513 |
|  12 |       0.06348 |        0.06333 |         0.06318 |
|  13 |       0.05322 |        0.05349 |         0.05320 |
|  14 |       0.04431 |        0.04461 |         0.04478 |
|  15 |       0.03814 |        0.03757 |         0.03772 |
|  16 |       0.03222 |        0.03181 |         0.03176 |
|  17 |       0.02705 |        0.02668 |         0.02666 |
|  18 |       0.02289 |        0.02248 |         0.02245 |
|  19 |       0.01914 |        0.01880 |         0.01889 |
|  20 |       0.01643 |        0.01597 |         0.01593 |
+-----+---------------+----------------+-----------------+
